26/01/2013	Messor bouvieri	Brisingr	Madrid, Ensanche de Vallecas	Primer día soleado tras varios días frios y cubiertos. Zona de descampados arenosos con hierbas bajas y pequeños matorrales. Hormiguero con 8 o 10 reinas aladas y multitud majors y cabezones.
03/01/2013	Desconocida	RochiRCR	el patio de mi casa (ciudad de trelew, provincia del chubut, república Argentina)	había decenas de alados machos muertos en el piso sin causa aparente. había alados vivos y obreras a montones. hoy  4/1 ya no hay más. ayer logre capturar a una docena.
04/12/2012	Pheidole sp.	Complexs	Patio de mi casa.	Salgo afuera por un rato y veo en dos esquinas de mi casa una montonera de hormigas que estaban haciendo fila, y dentro de esa montonera veo a muchos príncipes y reinas fecundadas. Logre agarrar 8.
25/11/2012	Formica sp.	Ferdimil	Patio de mi casa, Mairena del Aljarafe, Sevilla	Desde el 22 de este mes hasta hoy (25), no paran de salir aladas.  Todo lleno.
24/11/2012	Solenopsis saevissima	Cosquin	Cosquin, Cordoba, Argentina, 720 MSNM	Mañana siguiente a noche de lluvia, 69% humedad, 931 hPa, 19°C, viento NE 5 km/h, 10 am.
22/11/2012	Camponotus sp.	Cosquin	Cosquin, Cordoba, Argentina	60% humedad, 923 hPa, viento SE 29 km/h, 720 MSNM, 16 hs. Salida de machos, sin vuelo.
20/11/2012	Messor bouvieri	Toni Pinya	Calonge - Mallorca - Islas Baleares	Mucha actividad de hormigas y alados en las entradas de los hormigueros; 4 reinas sin alas capturadas entre las 11 hrs. y las 13 hrs.
19/11/2012	Messor barbarus	insmetal	Zona Sur de Madrid	Dia Soleado pero fresquito,con algo de viento,sobre las 16:00 horas Vuelo bastante considerable que hace que cada 3 mts haya Machos y Princesas, eso si todas ellas con Alas,no vi ninguna desalada.
19/11/2012	Messor bouvieri	insmetal	Zona Sur de Madrid	Dia Soleado pero fresquito,con algo de viento,sobre las 16:00 horas Vuelo bastante considerable que hace que cada 3 mts haya Machos y Princesas, eso si todas ellas con Alas,no vi ninguna desalada.
18/11/2012	Messor bouvieri	fmm	Inca, Mallorca (Islas Baleares)	12.00 Hs.Condic: lluvia previa y prevista 20ºC, 1006 Mb, 78% Hg, Viento 5 km/h. Reinas aladas y desaladas dispersas, probablemente  tras vuelo de ayer tarde-noche o de hoy a primera hora de la mañana.
15/11/2012	Messor bouvieri	cop3	palma de mallorca-enfrente de la carcel- recinto feria de abril-final antes del puente tren dcha	13:30h. sol sin viento, 24º  lluvias torrenciales el dia anterior, andando por el suelo, reinas sin alas, daos prisa!!
14/11/2012	Messor bouvieri	Elias Amorós	La Marina, Elx	Vuelos de Messor bouvieri alrededor de las 13:00.
11/11/2012	Messor bouvieri	Toni Pinyaa	Calonge - Mallorca - Islas Baleares	Vuelos masivos de 9 a 14 hrs. Reinas sin alas por todas partes despues de las lluvias de ayer y el sol de hoy. +de 50 cogidas en 1 hora.
01/11/2012	Messor barbarus	Parosa	Parque litoral (malaga)	No se puede andar si toparse con una de estas nubes de hormigas aladas
29/10/2012	Messor barbarus	Rom_91	Teatinos (Campus universitario), Málaga	Alados tanto machos como hembras por cualquier acera
25/10/2012	Crematogaster scutellaris	Elias Amorós	La Marina,Elx	Reinas y machos saliendo del hormiguero y algunos volando.
24/10/2012	Myrmica sp.	MadGator	Suesa (Cantabria)	12 AM, dia soleado 25º una reina alada.
23/10/2012	Myrmica sp.	MadGator	Mirones (Cantabria)	11 am, dia soleado 18º, reina sin alas.
